VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
YG18GYD,SEAT,ATECA,7-8 years old,suv,PETROL,manual,RED,10250,57061,0.7393921208,8
EU22XSK,FIAT,500,3-4 years old,hatchback,PETROL,manual,GREY,10200,14364,0.9526462946,5
HK18HVN,RENAULT,CLIO,7-8 years old,hatchback,DIESEL,manual,BLUE,9500,42466,0.799188482,5
DE22GUG,VOLKSWAGEN,GOLF,3-4 years old,hatchback,DIESEL,manual,GREY,13550,72309,0.868363609,5
BT73HLH,PEUGEOT,2008,0-2 years old,suv,PETROL,manual,GREY,17820,11025,0.2677270794,8
YG21DME,TOYOTA,RAV4,3-4 years old,suv,PETROLPLUGINELECTRICHYBRID,automatic,BLUE,21390,68194,0.4457400864,8
HV21OJC,FORD,PUMA,3-4 years old,suv,PETROL,manual,RED,14400,27389,0.7128731303,8
PJ19NFE,SUZUKI,IGNIS,5-6 years old,suv,PETROL,manual,WHITE,9400,26490,0.7025731597,8
KN21TWC,AUDI,A3,3-4 years old,hatchback,PETROL,semiAutomatic,BLUE,20470,34700,0.7321525072,5
YP18YDC,BMW,1 SERIES,7-8 years old,hatchback,PETROL,manual,WHITE,13500,36581,0.6682216353,5
LO21OZP,MERCEDES-BENZ,A-CLASS,3-4 years old,hatchback,PETROL,semiAutomatic,WHITE,17050,32400,0.9050932449,5
LA19SXJ,KIA,STINGER,5-6 years old,saloon,DIESEL,automatic,BLACK,20500,36294,0.8481002443,5
KM22OWW,AUDI,E-TRON GT,3-4 years old,saloon,ELECTRIC,automatic,GREY,34900,57168,0.3020675761,5
PY21EHR,SUZUKI,SWIFT,3-4 years old,hatchback,PETROL,manual,SILVER,11000,42034,0.6200042096,5
SC68WWG,LAND ROVER,RANGE ROVER EVOQUE,5-6 years old,suv,DIESEL,automatic,BLACK,15900,61713,0.8683131404,8
GP19VGV,VOLKSWAGEN,POLO,5-6 years old,hatchback,PETROL,manual,GREY,11900,43078,0.763932549,5
M321PEA,RENAULT,KADJAR,5-6 years old,suv,PETROL,manual,RED,12250,40881,0.6632452438,8
VK20KPT,VOLKSWAGEN,TIGUAN,5-6 years old,suv,PETROL,semiAutomatic,WHITE,24150,20629,0.8512178956,8
SD20CHG,VOLVO,XC40,5-6 years old,suv,PETROL,semiAutomatic,BLUE,20390,52299,0.448802823,8
BD22PVJ,FORD,PUMA,3-4 years old,suv,PETROL,manual,BLACK,13700,51072,0.7128731303,8
DN72OVK,HYUNDAI,IONIQ 5,0-2 years old,suv,ELECTRIC,automatic,WHITE,18700,11449,0.7622838488,8
ND69JFG,VOLKSWAGEN,GOLF,5-6 years old,hatchback,PETROL,manual,BLACK,15770,16659,0.2282119648,5
DF21XHO,VOLKSWAGEN,GOLF,3-4 years old,hatchback,PETROLPLUGINELECTRICHYBRID,semiAutomatic,GREY,16890,55928,0.8603212192,5
KW70YDZ,AUDI,Q5,3-4 years old,suv,PETROL,semiAutomatic,WHITE,24900,33674,0.5325775584,8
BG21CVJ,FORD,KUGA,3-4 years old,suv,DIESEL,manual,WHITE,16700,19630,0.6948635009,8
